vote_id,vote_date,vote_category,bill_id,impact_tag,reason_code,sponsor_party,source_url,notes
h-119-1-257,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll257.xml,
h-119-1-258,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll258.xml,
h-119-1-259,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll259.xml,
h-119-1-260,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll260.xml,
h-119-1-261,2025-09-10,MOTION_TO_RECOMMIT,hr-3838-119,FEDERAL_CONTRACTING,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll261.xml,
s-119-1-512,2025-09-10,PROCEDURAL,,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00512.xml,
h-119-1-263,2025-09-11,PROCEDURAL,hr-3944-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll263.xml,
h-119-1-264,2025-09-11,PASSAGE,hr-3486-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll264.xml,
s-119-1-513,2025-09-11,CLOTURE,sres-377-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00513.xml,
s-119-1-514,2025-09-11,PROCEDURAL,sres-377-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00514.xml,
s-119-1-515,2025-09-11,PROCEDURAL,sres-377-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00515.xml,
s-119-1-516,2025-09-11,CLOTURE,sres-377-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00516.xml,
h-119-1-265,2025-09-15,PROCEDURAL,hjres-117-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll265.xml,
h-119-1-266,2025-09-15,SUSPENSION,hr-3400-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll266.xml,
s-119-1-517,2025-09-15,PROCEDURAL,sres-377-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00517.xml,
s-119-1-518,2025-09-15,CLOTURE,pn-464-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00518.xml,
s-119-1-519,2025-09-15,NOMINATION,pn-464-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00519.xml,
h-119-1-267,2025-09-16,PROCEDURAL,hres-707-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll267.xml,
h-119-1-268,2025-09-16,PASSAGE,hres-707-119,,RULE_RESOLUTION,,https://clerk.house.gov/evs/2025/roll268.xml,
h-119-1-269,2025-09-16,SUSPENSION,hr-2721-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll269.xml,
h-119-1-270,2025-09-16,PASSAGE,hr-4922-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll270.xml,
h-119-1-271,2025-09-16,PASSAGE,hr-5140-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll271.xml,
s-119-1-520,2025-09-16,PROCEDURAL,sjres-60-119,REGULATORY_BURDEN,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00520.xml,
s-119-1-521,2025-09-16,PROCEDURAL,sconres-22-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00521.xml,
h-119-1-272,2025-09-17,PROCEDURAL,hres-722-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll272.xml,
h-119-1-273,2025-09-17,PASSAGE,hres-722-119,,RULE_RESOLUTION,,https://clerk.house.gov/evs/2025/roll273.xml,
h-119-1-274,2025-09-17,PASSAGE,hr-5125-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll274.xml,
h-119-1-275,2025-09-17,PASSAGE,hr-5143-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll275.xml,
h-119-1-276,2025-09-17,PROCEDURAL,hres-713-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll276.xml,
s-119-1-522,2025-09-17,CLOTURE,pn-55-25-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00522.xml,
s-119-1-523,2025-09-17,PROCEDURAL,pn-25-28-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00523.xml,
s-119-1-524,2025-09-17,PROCEDURAL,pn-55-25-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00524.xml,
s-119-1-525,2025-09-17,CLOTURE,pn-55-25-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00525.xml,
h-119-1-277,2025-09-18,PASSAGE,hr-3062-119,INPUT_COSTS,UNADJUDICATED_DIRECTION,,https://clerk.house.gov/evs/2025/roll277.xml,
h-119-1-278,2025-09-18,PASSAGE,hr-3015-119,INPUT_COSTS,UNADJUDICATED_DIRECTION,,https://clerk.house.gov/evs/2025/roll278.xml,
h-119-1-279,2025-09-18,PASSAGE,hr-1047-119,INPUT_COSTS,UNADJUDICATED_DIRECTION,,https://clerk.house.gov/evs/2025/roll279.xml,
s-119-1-526,2025-09-18,NOMINATION,pn-25-28-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00526.xml,
h-119-1-280,2025-09-19,MOTION_TO_RECOMMIT,hr-5371-119,,PROCEDURAL_CATEGORY,,https://clerk.house.gov/evs/2025/roll280.xml,
